===== MATRIZ DE TRANSICIONES =====

Estado  letra     digito    menor     mayor     igual     dospuntos punto     comilla   barra     amper     pipe      otros     
0       1         2         5         8         -100      10        -100      12        -100      -100      -100      -100      
1       1         1         -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
2       -100      2         -100      -100      -100      -100      3         -100      -100      -100      -100      -100      
3       -100      4         -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
4       -100      4         -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
5       -100      -100      -100      7         6         -100      -100      -100      -100      -100      -100      -100      
6       -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
7       -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
8       -100      -100      -100      -100      9         -100      -100      -100      -100      -100      -100      -100      
9       -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
10      -100      -100      -100      -100      11        -100      -100      -100      -100      -100      -100      -100      
11      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
12      12        12        12        12        12        12        12        14        13        12        12        12        
13      12        12        12        12        12        12        12        12        12        12        12        12        
14      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      -100      
